-0.4197819386460084,0.2848298609673567,-1.2879094989577484,-0.2725985670699254,-0.14421743255530006,0.4136718893017465,-0.1200134161980508,0.1402136034929299,-0.9828428567665046,-0.6666082090210975,-1.4590003802772087,0.44105193260704206,-1.075562304567866
-0.41733926449352865,-0.4877223646701313,-0.5933810131002436,-0.2725985670699254,-0.7402622069004893,0.19427445318161615,0.3671664185317732,0.5571598750882438,-0.8678825041257623,-0.987329484962999,-0.30309414801651063,0.44105193260704206,-0.49243936573529523
-0.4173415919581808,-0.4877223646701313,-0.5933810131002436,-0.2725985670699254,-0.7402622069004893,1.282713681725639,-0.2658117608982171,0.5571598750882438,-0.8678825041257623,-0.987329484962999,-0.30309414801651063,0.396426994090265,-1.2087273987724194
-0.41675041593652307,-0.4877223646701313,-1.3068777139076384,-0.2725985670699254,-0.8352838375932,1.016302509294053,-0.8098885106329841,1.0777366189304827,-0.75292215148502,-1.1061151427192588,0.11303209559734001,0.41616283913454,-1.361516822649223
-0.41248184576439545,-0.4877223646701313,-1.3068777139076384,-0.2725985670699254,-0.8352838375932,1.2285766520336596,-0.5111797068570335,1.0777366189304827,-0.75292215148502,-1.1061151427192588,0.11303209559734001,0.44105193260704206,-1.026501480387241
-0.4170436764826997,-0.4877223646701313,-1.3068777139076384,-0.2725985670699254,-0.8352838375932,0.20709638126655808,-0.3511571334056315,1.0777366189304827,-0.75292215148502,-1.1061151427192588,0.11303209559734001,0.41057101637199556,-1.0433223343920268
-0.41024282476898283,0.04877223646701315,-0.4766535364855369,-0.2725985670699254,-0.26515405343693266,-0.3884109453452248,-0.07022861556872603,0.83924392202093,-0.5230014462035353,-0.5775189657039027,-1.5052366295676372,0.4267982667417329,-0.031267618437420916
-0.4036956667023553,0.04877223646701315,-0.4766535364855369,-0.2725985670699254,-0.26515405343693266,-0.1604655571684657,0.9788082548349093,1.0246378861324021,-0.5230014462035353,-0.5775189657039027,-1.5052366295676372,0.44105193260704206,0.9107002058305778
-0.39593473581960753,0.04877223646701315,-0.4766535364855369,-0.2725985670699254,-0.26515405343693266,-0.931205900941131,1.117494485159458,1.0871964647915553,-0.5230014462035353,-0.5775189657039027,-1.5052366295676372,0.32844797227109607,2.4217735905938262
-0.4007293130031314,0.04877223646701315,-0.4766535364855369,-0.2725985670699254,-0.26515405343693266,-0.39980821475406275,0.6160904216783986,1.3296347255527114,-0.5230014462035353,-0.5775189657039027,-1.5052366295676372,0.3293251209397303,0.6233439499154892
